dataset_name,model_type,error_bound,epochs,memory,horizon,batch_size,hidden_size,train_rmse,rmse,rmse_on_raw,train_start,lr,lr_gamma
lg_only,lstm,0,15,60,30,512,32,0.2038806825876236,0.1864938606462148,0.1864938606462148,2021-10-19 07:56:42.471620,0.005,0.9
lg_only,lstm,1,15,60,30,512,32,0.2082839161157608,0.1888950764882038,0.1877991801543503,2021-10-19 08:03:58.108065,0.005,0.9
lg_only,lstm,2,15,60,30,512,32,0.2096785604953766,0.1909313064213847,0.1872658354916394,2021-10-19 08:11:14.991013,0.005,0.9
lg_only,lstm,5,15,60,30,512,32,0.2098047733306884,0.1889698096733055,0.1864755361733199,2021-10-19 08:18:31.625129,0.005,0.9
lg_only,lstm,10,15,60,30,512,32,0.2103661447763443,0.1921601332422284,0.1923341726055739,2021-10-19 08:26:38.688885,0.005,0.9
lg_only,lstm,25,15,60,30,512,32,0.2099898308515548,0.1981468667456153,0.1927620524169103,2021-10-19 08:34:40.094128,0.005,0.9
lg_only,lstm,50,15,60,30,512,32,0.2126431316137313,0.2045766773855933,0.1924648435079715,2021-10-19 08:42:29.385558,0.005,0.9
lg_only,lstm,-1,15,60,30,512,32,0.2034336328506469,0.1866259404762799,0.1866259404762799,2021-10-19 08:50:17.252734,0.005,0.9
lg_v3_d5,lstm,0,15,60,30,512,32,0.217074453830719,0.1995021110788243,0.1929472280512898,2021-10-19 08:58:05.514247,0.005,0.9
lg_v3_d5,lstm,1,15,60,30,512,32,0.2261063754558563,0.2069643677330897,0.1992203300131741,2021-10-19 09:05:53.965925,0.005,0.9
lg_v3_d5,lstm,2,15,60,30,512,32,0.2424921840429306,0.2396625802720881,0.2041327094991501,2021-10-19 09:14:01.449864,0.005,0.9
lg_v3_d5,lstm,5,15,60,30,512,32,0.244203120470047,0.2568922370039288,0.2015786045605799,2021-10-19 09:22:06.939701,0.005,0.9
lg_v3_d5,lstm,10,15,60,30,512,32,0.2518592774868011,0.275507333216965,0.2085731427169293,2021-10-19 09:30:12.770880,0.005,0.9
lg_v3_d5,lstm,25,15,60,30,512,32,0.2536915242671966,0.2671000166871312,0.2063752735056515,2021-10-19 09:38:30.386805,0.005,0.9
lg_v3_d5,lstm,50,15,60,30,512,32,0.2507248222827911,0.2654096907650143,0.2050475254069075,2021-10-19 09:46:39.082163,0.005,0.9
lg_v3_d5,lstm,-1,15,60,30,512,32,0.2045067250728607,0.1856436517846329,0.1856436517846329,2021-10-19 09:54:46.453223,0.005,0.9
